pair_id,category,ground_truth,s0,decision,decision_margin,confidence_label,abs_A_top_minus_bottom,abs_A_top_vs_bottom,abs_A_random_vs_bottom,abs_A_top_beats_random,abs_B_top_minus_bottom,abs_B_top_vs_bottom,abs_B_random_vs_bottom,abs_B_top_beats_random,sup_A_top_minus_bottom,sup_A_top_vs_bottom,sup_B_top_minus_bottom,sup_B_top_vs_bottom,sup_all_same_sign,dir_n_directional,dir_insufficient,dir_flag,dir_top_minus_bottom,dir_top_vs_bottom,dir_top_beats_random,rho_gc_mean_gray,rho_gc_norm_gray,rho_gc_sum_gray,rho_gc_mean_blur,n_parts_abs,top_gc_part,top_abs_gray,top_abs_blur,top_sup_gray,top_sup_blur,s0_warning,gradcam_error,error
gorilla_pair_31,medium_nonmatch,non-match,0.2787,non-match,-0.0362,low,0.0243,3.5057,2.2529,True,0.0524,5.1418,3.0709,True,0.0281,0.2170,0.0736,-0.1310,False,2,True,,,,,-0.4857,0.2000,0.4857,-0.1429,6,mouth,skin,skin,hair,,,,
gorilla_pair_32,medium_nonmatch,non-match,0.2347,non-match,-0.0801,medium,0.0133,2.7802,1.4571,True,0.0471,4.7209,2.4823,True,0.0220,-0.1434,0.0554,0.0969,False,2,True,,,,,0.5952,-0.4286,0.6905,0.3333,8,nose,skin,skin,nose,l_brow,,,
gorilla_pair_33,medium_nonmatch,non-match,0.1238,non-match,-0.1910,high,0.0052,1.3529,1.1400,True,0.0274,4.3990,3.0078,True,-0.0067,-3.4702,0.0199,0.4407,False,3,True,,,,,0.5000,0.4048,0.8810,-0.4286,8,mouth,mouth,l_brow,nose,skin,,,
gorilla_pair_34,medium_nonmatch,non-match,0.2394,non-match,-0.0754,medium,0.0150,3.1564,1.9724,True,0.1094,12.8272,5.7136,True,0.0220,0.0009,0.1279,-0.0780,False,3,True,,,,,0.1905,-0.4762,0.1905,-0.2857,8,skin,skin,r_eye,hair,hair,,,
gorilla_pair_35,hard_match,match,0.5450,match,0.2302,high,0.0470,10.1861,4.6318,True,0.1631,9.0873,3.9555,True,0.0564,-10.0229,0.1952,-15.2812,False,5,True,,,,,0.0952,0.3333,0.7143,0.4524,8,l_eye,skin,skin,skin,skin,,,
gorilla_pair_36,hard_match,match,0.4694,match,0.1545,high,0.0505,5.6097,3.3048,True,0.1090,8.2694,4.6347,True,0.0505,5.6097,0.1118,10.1525,False,5,True,,,,,0.0857,-0.0286,0.3143,0.0857,6,skin,skin,skin,skin,skin,,,
gorilla_pair_37,hard_match,match,0.4968,match,0.1820,high,0.0088,1.8417,1.8204,True,0.0212,2.4329,4.3298,False,0.0032,1.1994,0.0014,1.0924,False,6,False,,0.0088,1.8417,True,0.0357,-0.7500,0.6071,0.3571,7,mouth,skin,nose,skin,nose,,,
gorilla_pair_38,hard_match,match,-0.0216,non-match,-0.3364,high,0.0168,3.7082,2.1378,True,0.0173,5.5193,3.5747,True,0.0204,-1334.0468,0.0193,-1.1077,False,5,True,,,,,-0.3333,0.0714,0.6905,0.0000,8,l_brow,mouth,mouth,mouth,mouth,,,
gorilla_pair_39,hard_match,match,0.6358,match,0.3210,high,0.0306,3.1543,1.8044,True,0.1569,6.6411,3.2934,True,0.0306,3.1543,0.1560,7.1481,False,5,True,,,,,0.0000,-0.1071,0.5357,0.1429,7,mouth,skin,skin,skin,skin,,,
gorilla_pair_40,hard_match,match,0.5882,match,0.2734,high,0.0523,7.6301,3.7116,True,0.1944,16.3585,6.8795,True,0.0644,-14.4283,0.1748,8.6399,True,8,False,,0.0584,32.3878,True,0.0000,-0.6905,0.7143,0.0952,8,mouth,skin,skin,skin,skin,,,
gorilla_pair_41,hard_match,match,0.2437,non-match,-0.0712,medium,0.0356,3.2580,2.1290,True,0.0520,5.3048,3.1524,True,0.0368,0.2847,0.0576,0.1004,False,1,True,,,,,0.1160,-0.5218,0.3479,0.8117,6,mouth,skin,skin,r_brow,r_brow,,,
gorilla_pair_1,hard_nonmatch,non-match,0.2215,non-match,-0.0933,medium,0.0278,3.8354,2.2371,True,0.0493,3.5214,1.7940,True,0.0274,-0.0366,0.0556,0.0941,False,3,True,,,,,0.1429,-0.2381,0.3571,0.7381,8,nose,skin,skin,hair,nose,,,
gorilla_pair_2,hard_nonmatch,non-match,0.0850,non-match,-0.2298,high,0.0298,3.4297,1.7775,True,0.0413,3.7287,2.1048,True,0.0330,-2.0617,0.0515,-1.7881,False,4,True,,,,,0.3571,0.4286,0.3333,-0.0238,8,nose,nose,nose,nose,nose,,,
gorilla_pair_3,hard_nonmatch,non-match,0.1793,non-match,-0.1356,medium,0.0091,1.5479,1.0565,True,0.0127,1.5618,1.0219,True,0.0125,-0.0956,0.0221,0.2108,False,2,True,,,,,-0.1905,0.0238,0.5000,-0.0714,8,mouth,nose,nose,l_eye,skin,,,
gorilla_pair_4,hard_nonmatch,non-match,0.1201,non-match,-0.1947,high,0.0060,1.9058,1.5963,True,-0.0058,0.7653,0.8846,False,0.0002,0.7186,-0.0170,27.2501,False,4,True,,,,,0.4048,0.2857,0.7619,-0.0476,8,r_brow,nose,skin,skin,r_brow,,,
gorilla_pair_5,hard_nonmatch,non-match,0.0331,non-match,-0.2817,high,0.0144,5.3648,2.9903,True,0.0160,3.1659,1.9013,True,-0.0028,1.3280,0.0082,-1.5192,False,4,True,,,,,0.3214,0.1429,0.8214,0.8214,7,mouth,skin,nose,nose,l_brow,,,
gorilla_pair_6,hard_nonmatch,non-match,0.2862,non-match,-0.0286,low,0.0326,7.3384,4.0452,True,0.1236,13.0724,5.5528,True,0.0363,0.0392,0.1406,-0.0506,False,2,True,,,,,0.1905,0.3095,0.4524,0.4286,8,r_eye,skin,nose,hair,hair,,,
gorilla_pair_7,hard_nonmatch,non-match,0.2764,non-match,-0.0385,low,0.0633,13.7561,5.6637,True,0.1201,8.2960,3.5323,True,0.0732,-0.0727,0.1407,-0.0304,False,2,True,,,,,0.3333,0.5238,0.5476,0.0238,8,l_brow,skin,skin,r_brow,l_eye,,,
gorilla_pair_8,hard_nonmatch,non-match,0.2352,non-match,-0.0796,medium,0.0138,1.9418,1.4190,True,0.0528,2.0688,1.1657,True,0.0207,0.2741,0.0644,0.2921,False,2,True,,,,,0.2143,0.4524,0.6190,-0.1667,8,r_brow,skin,skin,mouth,hair,,,
gorilla_pair_9,hard_nonmatch,non-match,0.1505,non-match,-0.1643,high,0.0182,2.8945,1.6692,True,0.0171,1.7327,1.1402,True,0.0338,-0.3973,0.0258,0.4113,False,1,True,,,,,-0.5000,-0.2381,-0.1429,0.0000,8,l_brow,skin,skin,l_brow,l_brow,,,
gorilla_pair_10,hard_nonmatch,non-match,0.1927,non-match,-0.1221,medium,0.0111,1.7848,1.1754,True,0.0679,3.6492,1.8499,True,0.0111,0.5603,0.0679,0.2740,True,0,True,all_negative_nonmatch,,,,-0.0273,-0.3819,0.0818,0.2455,8,r_brow,skin,skin,,nose,,,
gorilla_pair_11,hard_nonmatch,non-match,0.1904,non-match,-0.1244,medium,0.0026,1.2157,0.8691,True,0.0065,1.2326,1.1966,True,0.0155,-1.2626,0.0299,0.3316,False,3,True,,,,,-0.0476,0.5952,0.4762,0.6905,8,nose,nose,nose,hair,r_brow,,,
gorilla_pair_12,hard_nonmatch,non-match,0.1320,non-match,-0.1828,high,0.0101,1.9658,1.4829,True,0.0264,3.3926,2.1963,True,-0.0020,1.2354,0.0167,0.4885,False,1,True,,,,,-0.3143,-0.2000,0.3714,-0.3143,6,r_brow,skin,skin,r_brow,hair,,,
gorilla_pair_13,hard_nonmatch,non-match,0.3168,match,0.0020,low,0.0319,6.9536,3.2462,True,0.0687,8.2881,3.6290,True,-0.0108,0.1452,-0.0323,0.2379,False,3,True,,,,,-0.3571,-0.5476,0.6429,-0.0476,8,mouth,skin,l_brow,skin,l_brow,,,
gorilla_pair_14,hard_nonmatch,non-match,0.3691,match,0.0542,medium,0.0254,8.8141,4.5322,True,0.0786,14.6830,7.3443,True,0.0272,18.9072,0.0890,-18.0694,False,6,False,,0.0199,3.2578,True,0.5238,-0.5952,0.8571,0.4524,8,skin,skin,nose,skin,nose,,,
gorilla_pair_15,hard_nonmatch,non-match,0.2049,non-match,-0.1099,medium,0.0253,13.0230,6.2107,True,0.0404,14.7479,10.2852,True,0.0270,0.0119,0.0454,-0.0483,False,3,True,,,,,-0.6429,-0.4286,-0.4048,-0.4762,8,l_brow,nose,skin,r_brow,r_brow,,,
gorilla_pair_16,hard_nonmatch,non-match,0.1111,non-match,-0.2037,high,0.0228,2.3263,1.4225,True,0.0583,6.6968,3.4128,True,0.0587,-0.7990,0.0820,-0.6353,False,4,True,,,,,0.0476,-0.1429,0.3333,0.0238,8,l_brow,skin,skin,nose,nose,,,
gorilla_pair_17,hard_nonmatch,non-match,0.2136,non-match,-0.1012,medium,-0.0065,0.7833,0.7055,True,0.0224,2.5912,1.7388,True,-0.0195,0.1578,-0.0305,9.7871,False,4,True,,,,,0.4286,-0.3571,0.5238,0.2143,8,hair,skin,nose,l_brow,skin,,,
gorilla_pair_18,hard_nonmatch,non-match,0.1568,non-match,-0.1581,high,0.0451,8.0388,4.0397,True,0.0502,7.8359,3.8059,True,0.0529,-0.5392,0.0627,-0.3319,False,3,True,,,,,0.1649,-0.6849,0.3425,0.0381,8,hair,skin,nose,nose,nose,,,
gorilla_pair_19,hard_nonmatch,non-match,0.2109,non-match,-0.1039,medium,0.0458,5.2153,2.4560,True,0.0376,5.7901,2.6118,True,0.0425,0.0964,0.0175,-0.1279,False,3,True,,,,,-0.0476,0.6190,0.6905,-0.3571,8,r_eye,skin,mouth,nose,l_brow,,,
gorilla_pair_20,hard_nonmatch,non-match,0.2932,non-match,-0.0217,low,0.0395,5.8657,3.1759,True,0.0427,2.5617,1.3771,True,0.0558,-0.1705,0.0662,0.0547,False,1,True,,,,,0.1905,-0.7381,0.6429,0.4762,8,hair,skin,skin,r_eye,mouth,,,
