pair_id,category,ground_truth,img_a,img_b,notes
gorilla_pair_31,medium_nonmatch,nonmatch,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (6).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (7).jpg,
gorilla_pair_32,medium_nonmatch,nonmatch,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (10).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (11).jpg,
gorilla_pair_33,medium_nonmatch,nonmatch,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (12).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (13).jpg,
gorilla_pair_34,medium_nonmatch,nonmatch,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (14).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (15).jpg,
gorilla_pair_35,hard_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (1).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (2).jpg,
gorilla_pair_36,hard_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (3).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (4).jpg,
gorilla_pair_37,hard_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (5).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (6).jpg,
gorilla_pair_38,hard_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (7).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (8).jpg,
gorilla_pair_39,hard_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (9).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (10).jpg,
gorilla_pair_40,hard_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (11).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (12).jpg,
gorilla_pair_41,hard_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (13).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard_same (14).jpg,
gorilla_pair_1,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (1).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (2).jpg,
gorilla_pair_2,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (3).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (4).jpg,
gorilla_pair_3,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (5).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (6).jpg,
gorilla_pair_4,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (7).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (8).jpg,
gorilla_pair_5,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (9).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (10).jpg,
gorilla_pair_6,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (11).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (12).jpg,
gorilla_pair_7,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (13).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (14).jpg,
gorilla_pair_8,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (15).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (16).jpg,
gorilla_pair_9,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (17).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (18).jpg,
gorilla_pair_10,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (19).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (20).jpg,
gorilla_pair_11,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (21).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (22).jpg,
gorilla_pair_12,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (23).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (24).jpg,
gorilla_pair_13,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (25).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (26).jpg,
gorilla_pair_14,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (27).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (28).jpg,
gorilla_pair_15,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (29).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (30).jpg,
gorilla_pair_16,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (31).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (32).jpg,
gorilla_pair_17,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (33).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (34).jpg,
gorilla_pair_18,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (35).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (36).jpg,
gorilla_pair_19,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (37).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (38).jpg,
gorilla_pair_20,hard_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (39).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Hard (40).jpg,
