pair_id,category,ground_truth,s0,decision,decision_margin,confidence_label,abs_A_top_minus_bottom,abs_A_top_vs_bottom,abs_A_random_vs_bottom,abs_A_top_beats_random,abs_B_top_minus_bottom,abs_B_top_vs_bottom,abs_B_random_vs_bottom,abs_B_top_beats_random,sup_A_top_minus_bottom,sup_A_top_vs_bottom,sup_B_top_minus_bottom,sup_B_top_vs_bottom,sup_all_same_sign,dir_n_directional,dir_insufficient,dir_flag,dir_top_minus_bottom,dir_top_vs_bottom,dir_top_beats_random,rho_gc_mean_gray,rho_gc_norm_gray,rho_gc_sum_gray,rho_gc_mean_blur,n_parts_abs,top_gc_part,top_abs_gray,top_abs_blur,top_sup_gray,top_sup_blur,s0_warning,gradcam_error,error
lfw_match_011,lfw_eval,match,0.6626,match,0.3478,high,0.0579,9.7787,4.6984,True,0.1772,11.0945,5.5443,True,0.0606,16.4862,0.1810,14.1961,False,6,False,,0.0581,9.9689,True,-0.2857,-0.6071,0.4286,-0.2857,7,mouth,skin,skin,skin,skin,,,
lfw_match_012,lfw_eval,match,0.7623,match,0.4475,high,0.0552,27.5731,11.0190,True,0.1323,5.5432,2.5181,True,0.0545,36.9696,0.1323,5.5432,False,7,False,,0.0541,22.6769,True,0.8024,0.3593,0.9701,0.6467,8,nose,skin,skin,skin,skin,,,
lfw_match_013,lfw_eval,match,0.4024,match,0.0875,medium,0.0265,7.4997,4.2498,True,0.0819,4.7748,2.8874,True,0.0343,-8.2282,0.1075,-26.1106,False,4,True,,,,,0.1429,-0.5429,0.2571,0.0286,6,skin,skin,skin,skin,skin,,,
lfw_match_014,lfw_eval,match,0.4634,match,0.1485,medium,0.0215,2.8586,1.7543,True,0.1119,16.3804,7.7883,True,0.0259,4.6178,0.1106,25.7222,False,5,True,,,,,0.1071,-0.5714,0.6429,0.0000,7,mouth,skin,skin,skin,skin,,,
lfw_match_015,lfw_eval,match,0.3870,match,0.0722,medium,0.0299,9.0360,5.0180,True,0.0862,9.0778,5.0389,True,0.0357,-16.3182,0.0993,-39.3915,False,4,True,,,,,-0.4857,0.7143,0.8857,-0.1429,6,l_eye,skin,skin,skin,skin,,,
lfw_match_016,lfw_eval,match,0.5044,match,0.1896,high,0.0100,1.7568,1.3784,True,0.0317,2.4860,1.7430,True,0.0339,-2.1786,0.0312,2.4490,True,6,False,,0.0220,18.1509,True,0.4638,0.4638,0.9276,-0.1160,6,mouth,skin,skin,skin,skin,,,
lfw_match_017,lfw_eval,match,0.7111,match,0.3963,high,0.0291,2.6282,1.8141,True,0.1414,5.9933,3.4966,True,0.0291,2.6282,0.1414,5.9933,True,6,False,,0.0291,2.6282,True,-0.2571,-0.0286,-0.0857,-0.3714,6,r_brow,skin,nose,skin,nose,,,
lfw_match_018,lfw_eval,match,0.3384,match,0.0236,low,,,,,,,,,,,,,False,4,True,,,,,-0.6000,-0.4000,0.9000,-0.4000,5,l_brow,skin,nose,skin,nose,,,
lfw_match_019,lfw_eval,match,0.5222,match,0.2074,high,0.0646,6.1415,4.3203,True,0.1974,10.5754,5.1620,True,0.0758,56.7287,0.2003,12.2725,False,7,False,,0.0619,5.0605,True,0.2196,-0.4636,0.7563,0.5611,8,mouth,skin,mouth,skin,mouth,,,
lfw_match_020,lfw_eval,match,0.3277,match,0.0129,low,0.0416,4.1299,2.5649,True,0.1282,4.9086,2.9543,True,0.0416,4.1299,0.1117,4.4056,False,5,True,,,,,0.8286,0.4286,0.8286,0.6000,6,nose,skin,skin,skin,skin,,,
lfw_match_021,lfw_eval,match,0.0401,non-match,-0.2747,high,-0.0041,0.5562,0.6338,False,0.0240,3.5015,2.0968,True,-0.0085,13.1226,0.0206,0.3608,False,1,True,,,,,0.3810,0.2857,0.0476,-0.0238,8,r_brow,hair,skin,skin,r_eye,,,
lfw_match_022,lfw_eval,match,0.1193,non-match,-0.1955,high,0.0123,7.9659,5.0832,True,0.0549,17.3033,8.7700,True,0.0084,-0.7327,-0.0002,1.0096,False,6,False,,0.0060,11.6063,True,-0.4762,0.8095,1.0000,-0.6905,8,r_eye,skin,hair,nose,mouth,,,
lfw_match_023,lfw_eval,match,0.4657,match,0.1508,high,,,,,,,,,,,,,False,4,True,,,,,0.3000,-0.3000,0.6000,-0.7000,5,skin,hair,l_brow,hair,l_brow,,,
lfw_match_024,lfw_eval,match,0.2819,non-match,-0.0329,low,0.0268,10.9594,5.8058,True,0.1396,45.5334,18.8310,True,0.0383,-0.3150,0.1548,-0.2160,False,4,True,,,,,0.9341,0.0599,0.9581,0.9461,8,hair,skin,skin,nose,nose,,,
lfw_match_025,lfw_eval,match,0.4978,match,0.1830,high,,,,,,,,,,,,,True,5,True,all_negative_match,,,,0.3000,0.1000,0.9000,0.5000,5,nose,hair,skin,hair,skin,,,
lfw_match_026,lfw_eval,match,0.4453,match,0.1304,medium,0.0149,1.7184,1.1766,True,0.1201,11.1998,6.2077,True,0.0455,-3.5842,0.1437,-11.1998,False,4,True,,,,,0.8214,0.2857,0.9643,0.1786,7,mouth,skin,skin,skin,skin,,,
lfw_match_027,lfw_eval,match,0.4677,match,0.1529,high,0.0060,1.6216,1.1428,True,-0.0763,0.2984,0.6591,False,0.0026,1.2680,-0.0763,0.2984,True,7,False,,0.0043,1.4448,True,-0.2857,-0.6786,0.7143,-0.7857,7,hair,skin,nose,skin,nose,,,
lfw_match_028,lfw_eval,match,0.2701,non-match,-0.0447,low,0.0226,3.4791,2.1281,True,0.0902,5.9099,2.9738,True,0.0313,0.0132,0.1133,-0.0442,False,3,True,,,,,0.1786,-0.5357,0.6429,0.5714,7,hair,skin,skin,mouth,l_brow,,,
lfw_match_029,lfw_eval,match,0.6178,match,0.3029,high,0.0406,10.7241,5.3817,True,0.1462,6.4220,3.2183,True,0.0440,57.3046,0.1466,6.5155,False,6,False,,0.0388,7.5163,True,-0.3571,0.4286,0.8929,-0.3929,7,mouth,skin,skin,skin,skin,,,
lfw_match_030,lfw_eval,match,0.4184,match,0.1036,medium,0.0026,1.3420,1.2096,True,0.0832,13.3548,6.9143,True,0.0057,35.9394,0.1025,14.0890,False,7,False,,0.0070,4.2852,True,-0.5952,-0.2381,0.2857,0.0952,8,l_brow,skin,skin,skin,skin,,,
lfw_match_031,lfw_eval,match,0.4640,match,0.1492,medium,0.0288,7.9461,5.5505,True,0.0844,7.7723,4.1105,True,0.0338,-39.7112,0.0853,8.3644,True,8,False,,0.0313,19.8677,True,0.6429,-0.5238,0.8333,0.4048,8,hair,skin,nose,skin,nose,,,
lfw_match_032,lfw_eval,match,0.5309,match,0.2160,high,0.0283,3.5703,1.8804,True,0.1318,6.2119,3.3569,True,0.0217,7.9000,0.0894,2.4654,True,8,False,,0.0250,4.5341,True,-0.0238,0.0714,0.9524,-0.3810,8,mouth,skin,skin,skin,skin,,,
lfw_match_033,lfw_eval,match,0.5628,match,0.2479,high,0.0243,2.8893,1.5132,True,0.1447,17.4622,8.0356,True,0.0260,-20.6693,0.1087,4.0899,False,6,False,,0.0214,3.2285,True,-0.5238,0.1429,0.8333,0.1667,8,r_eye,skin,skin,skin,skin,,,
lfw_match_034,lfw_eval,match,0.3330,match,0.0182,low,0.0094,2.5418,1.8541,True,0.0352,1.9188,1.1285,True,0.0187,-2.7218,0.0370,10.2912,False,5,True,,,,,0.6905,-0.5238,0.7619,0.0714,8,hair,hair,nose,hair,r_brow,,,
lfw_match_035,lfw_eval,match,0.6317,match,0.3169,high,,,,,,,,,,,,,False,4,True,,,,,0.9000,-0.3000,0.9000,0.5000,5,hair,hair,skin,hair,skin,,,
lfw_match_036,lfw_eval,match,0.4866,match,0.1718,high,,,,,,,,,,,,,True,5,True,all_negative_match,,,,-0.3000,-0.5000,0.6000,0.5000,5,nose,hair,skin,hair,skin,,,
lfw_match_037,lfw_eval,match,0.5076,match,0.1928,high,0.0291,4.9990,2.9995,True,0.0230,1.6139,1.3069,True,0.0304,8.5930,0.0401,2.9796,False,5,True,,,,,0.0286,-0.4286,0.1429,-0.4286,6,mouth,nose,hair,nose,hair,,,
lfw_match_038,lfw_eval,match,0.6263,match,0.3115,high,0.0285,3.1656,2.0828,True,0.0156,1.4125,1.2063,True,0.0198,2.5073,0.0156,1.4125,True,6,False,,0.0241,2.8365,True,0.0286,-0.0286,0.4286,-0.1429,6,skin,nose,nose,nose,nose,,,
lfw_match_039,lfw_eval,match,0.5140,match,0.1991,high,-0.0168,0.2976,0.6488,False,-0.0360,0.3878,0.6939,False,-0.0193,0.1970,-0.0360,0.3878,True,6,False,,-0.0181,0.2473,False,0.6000,0.0857,0.6571,-0.2571,6,hair,skin,nose,skin,nose,,,
lfw_match_040,lfw_eval,match,0.7231,match,0.4083,high,0.0176,3.9306,2.4653,True,0.1352,5.7377,3.3688,True,0.0214,-57.6532,0.1352,5.7377,True,6,False,,0.0195,7.9131,True,0.4286,-0.3714,0.5429,0.6000,6,hair,skin,skin,skin,skin,,,
lfw_match_041,lfw_eval,match,0.3952,match,0.0803,medium,0.0056,1.3915,0.9303,True,0.1028,12.1661,5.2201,True,-0.0195,-0.6241,-0.1007,0.0064,False,4,True,,,,,0.2036,0.0240,0.4910,-0.0479,8,l_eye,skin,nose,skin,nose,,,
lfw_match_042,lfw_eval,match,0.2336,non-match,-0.0812,medium,0.0067,1.6946,1.1965,True,0.0605,3.6758,2.0169,True,0.0029,0.6102,0.0530,0.0110,False,3,True,,,,,-0.0238,0.2143,0.3333,0.5952,8,mouth,skin,skin,hair,mouth,,,
lfw_match_043,lfw_eval,match,0.1890,non-match,-0.1259,medium,0.0082,3.4795,2.2397,True,0.0212,1.4816,1.2408,True,0.0149,-0.6601,0.1021,-0.0257,False,1,True,,,,,0.7714,-0.6000,0.9429,0.3143,6,hair,skin,skin,nose,nose,,,
lfw_match_044,lfw_eval,match,0.6290,match,0.3141,high,0.0264,1.9926,1.3674,True,0.1332,4.1977,2.2425,True,0.0264,1.9926,0.1332,4.1977,False,6,False,,0.0278,2.1030,True,-0.2500,0.8929,0.5714,0.3571,7,r_eye,skin,skin,skin,skin,,,
lfw_match_045,lfw_eval,match,0.4822,match,0.1673,high,0.0627,6.9152,3.4540,True,0.1061,3.7144,2.0480,True,0.0552,6.2075,0.1061,3.7144,True,8,False,,0.0589,6.5614,True,0.4524,0.7143,0.5714,0.0714,8,mouth,skin,skin,skin,skin,,,
lfw_match_046,lfw_eval,match,0.4205,match,0.1057,medium,0.0168,1.8841,1.4421,True,-0.0459,0.5809,0.7904,False,0.0047,1.2480,-0.0459,0.5809,True,6,False,,0.0108,1.5661,True,0.2000,0.1429,0.6000,0.3143,6,nose,skin,nose,skin,nose,,,
lfw_match_047,lfw_eval,match,0.1831,non-match,-0.1317,medium,0.0095,2.5241,1.7620,True,0.0792,14.2655,7.6327,True,0.0072,0.3699,0.0697,0.0455,False,2,True,,,,,0.3143,0.2000,0.8286,0.3143,6,nose,skin,skin,nose,r_brow,,,
lfw_match_048,lfw_eval,match,0.6177,match,0.3029,high,0.0955,12.3925,5.5087,True,0.2025,8.7349,3.9904,True,0.0990,21.3958,0.2025,8.7349,True,8,False,,0.0972,15.6946,True,0.2857,0.2381,0.7143,0.2857,8,l_eye,skin,skin,skin,skin,,,
lfw_match_049,lfw_eval,match,0.1227,non-match,-0.1921,high,0.0036,1.4871,1.3405,True,0.0281,2.9427,1.7420,True,0.0084,0.4272,0.0467,-0.2050,False,2,True,,,,,-0.3929,-0.2500,0.4286,-0.3214,7,r_brow,hair,hair,skin,l_brow,,,
lfw_match_050,lfw_eval,match,0.3725,match,0.0577,medium,0.0309,30.2982,14.9332,True,0.1190,8.9336,4.5103,True,0.0316,92.7400,0.1383,-31.3518,False,5,True,,,,,0.5000,-0.1071,0.8571,0.4643,7,mouth,skin,skin,skin,skin,,,
lfw_match_051,lfw_eval,match,0.3780,match,0.0631,medium,0.0240,6.5185,3.3605,True,0.1273,10.8471,5.0949,True,0.0246,7.5476,0.1365,37.3929,False,5,True,,,,,0.1786,-0.6429,0.5714,0.6786,7,mouth,hair,skin,hair,skin,,,
lfw_match_052,lfw_eval,match,0.5986,match,0.2838,high,0.0521,10.4481,5.7240,True,0.1019,3.1343,2.0671,True,0.0522,16.4264,0.1019,3.1343,True,6,False,,0.0521,12.7200,True,0.2571,0.6571,0.8286,-0.7143,6,hair,skin,nose,skin,nose,,,
lfw_match_053,lfw_eval,match,0.5747,match,0.2599,high,0.0466,6.8886,3.4257,True,0.0093,1.0996,0.8327,True,0.0471,11.0725,0.0093,1.0996,True,8,False,,0.0468,8.4441,True,0.0714,-0.7619,0.4762,-0.1905,8,hair,skin,skin,skin,skin,,,
lfw_match_054,lfw_eval,match,0.1774,non-match,-0.1374,medium,0.0066,2.1138,1.5569,True,0.0467,8.6051,4.8025,True,0.0184,-0.2853,0.0539,-0.0211,False,2,True,,,,,-0.4286,0.1429,0.7714,-0.7714,6,nose,skin,hair,nose,nose,,,
lfw_match_055,lfw_eval,match,0.3475,match,0.0327,low,0.0434,6.4296,3.2433,True,0.0921,4.0244,2.5342,True,0.0490,22.0066,0.0921,4.0244,True,7,False,,0.0462,9.9516,True,0.5357,-0.6071,0.9643,0.7143,7,mouth,skin,mouth,skin,mouth,,,
lfw_match_056,lfw_eval,match,0.4328,match,0.1180,medium,0.0594,8.3726,4.0675,True,0.0663,1.9791,1.3193,True,0.0594,8.3726,0.0663,1.9791,True,7,False,,0.0594,8.3726,True,0.7857,-0.5714,1.0000,0.1071,7,hair,skin,skin,skin,skin,,,
lfw_match_057,lfw_eval,match,0.5559,match,0.2411,high,0.0331,7.1298,3.6776,True,0.1369,12.2795,5.7403,True,0.0400,-25.6412,0.1414,19.5370,True,7,False,,0.0365,19.7518,True,0.3214,0.0714,0.8214,0.3214,7,r_brow,skin,skin,skin,skin,,,
lfw_match_058,lfw_eval,match,0.4318,match,0.1170,medium,0.0354,7.8453,4.7994,True,0.1000,25.5176,15.2861,True,0.0458,-7.8453,0.1046,-190.4356,False,6,False,,0.0284,3.3338,True,-0.1071,0.0714,0.9643,-0.3929,7,l_eye,skin,skin,skin,skin,,,
lfw_match_059,lfw_eval,match,0.3521,match,0.0373,low,0.0158,5.4973,3.2487,True,0.0440,7.3529,4.1764,True,0.0220,-7.0043,0.0448,8.3007,False,5,True,,,,,0.2571,-0.3714,0.6000,-0.0857,6,hair,skin,skin,skin,skin,,,
lfw_match_060,lfw_eval,match,0.0240,non-match,-0.2908,high,,,,,,,,,,,,,False,2,True,,,,,0.6000,0.6000,0.2000,0.6000,5,hair,hair,skin,mouth,skin,,,
lfw_match_061,lfw_eval,match,-0.0145,non-match,-0.3293,high,,,,,,,,,,,,,False,2,True,,,,,0.4000,0.7000,0.7000,-0.5000,5,hair,skin,skin,skin,skin,,,
lfw_match_062,lfw_eval,match,0.3890,match,0.0742,medium,0.0254,7.0143,4.0072,True,0.0837,10.1228,5.5614,True,-0.0068,39.9959,-0.0249,0.5698,False,5,True,,,,,0.5429,-0.2571,0.6571,0.7714,6,hair,skin,skin,skin,hair,,,
lfw_match_063,lfw_eval,match,0.3720,match,0.0571,medium,0.0244,19.1420,10.0710,True,0.1385,65.0083,33.0041,True,0.0241,18.5667,0.1283,97.2379,False,4,True,,,,,-0.0857,-0.3143,0.6000,-0.0857,6,l_brow,skin,skin,skin,skin,,,
lfw_match_064,lfw_eval,match,0.3646,match,0.0498,low,0.0042,1.1524,1.0762,True,-0.0560,0.4264,0.7132,False,-0.0266,0.0418,-0.0560,0.4264,True,6,False,,-0.0112,0.5971,False,-0.5429,-0.6571,0.5429,0.1429,6,l_brow,skin,nose,skin,nose,,,
lfw_match_065,lfw_eval,match,0.5016,match,0.1868,high,0.0378,12.2696,6.7045,True,0.1049,4.0507,2.0106,True,0.0282,3.2422,0.0929,4.3907,False,6,False,,0.0358,7.9432,True,0.5834,-0.8118,0.5834,0.1142,8,skin,skin,skin,skin,skin,,,
lfw_match_066,lfw_eval,match,0.1679,non-match,-0.1469,medium,-0.0059,0.3735,0.5903,False,-0.0643,0.0727,0.4941,False,0.0051,-0.2361,-0.0277,-18.3617,False,3,True,,,,,0.1429,-0.3214,0.1071,0.2500,7,mouth,skin,hair,mouth,nose,,,
lfw_match_067,lfw_eval,match,0.2857,non-match,-0.0291,low,0.0426,8.5323,4.2163,True,0.1050,9.2306,4.2739,True,0.0577,-0.1965,0.1289,-0.0944,False,3,True,,,,,0.5000,0.1905,0.7857,0.7619,8,nose,skin,nose,l_brow,l_brow,,,
lfw_match_068,lfw_eval,match,0.0778,non-match,-0.2371,high,,,,,,,,,,,,,False,2,True,,,,,-0.6000,0.4000,1.0000,0.6000,4,mouth,skin,nose,skin,mouth,,,
lfw_match_069,lfw_eval,match,0.1909,non-match,-0.1240,medium,0.0032,1.3805,1.2490,True,0.0643,3.7033,2.0555,True,0.0091,0.3940,0.0730,0.0860,False,3,True,,,,,0.5714,-0.0714,0.4643,0.3214,7,hair,hair,hair,skin,nose,,,
lfw_match_070,lfw_eval,match,0.2497,non-match,-0.0651,medium,-0.0070,0.6271,0.8135,False,0.0628,2.9248,1.9624,True,-0.0272,-1.5422,-0.0921,-2.9078,False,4,True,,,,,-0.2000,-0.0286,0.8857,0.6571,6,l_brow,skin,l_brow,nose,skin,,,
lfw_match_071,lfw_eval,match,0.4835,match,0.1686,high,0.0190,2.1689,1.3558,True,0.0307,1.6783,1.0588,True,0.0495,-2.0840,0.0740,27.6666,False,6,False,,0.0331,27.2849,True,0.6905,0.0238,0.6190,0.1905,8,hair,skin,skin,skin,skin,,,
lfw_match_072,lfw_eval,match,0.4409,match,0.1261,medium,0.0146,6.9521,5.3125,True,0.0697,6.7555,4.1727,True,0.0247,15.1775,0.0429,2.1011,False,5,True,,,,,0.8095,-0.1905,0.5714,0.3810,8,hair,skin,skin,skin,skin,,,
lfw_match_073,lfw_eval,match,0.5128,match,0.1980,high,0.0206,2.7177,1.8588,True,0.1175,7.2784,4.1392,True,0.0305,15.8838,0.1264,13.8859,False,5,True,,,,,0.0286,0.4857,0.3143,0.2571,6,r_brow,skin,skin,skin,skin,,,
lfw_match_074,lfw_eval,match,0.5209,match,0.2061,high,0.0458,4.6042,2.8021,True,0.1141,3.8723,2.4362,True,0.0458,4.6042,0.1165,4.1293,False,5,True,,,,,0.2571,-0.6571,0.6000,0.0286,6,hair,skin,skin,skin,skin,,,
lfw_match_075,lfw_eval,match,0.5061,match,0.1912,high,0.0145,1.7470,1.4300,True,0.1696,8.4558,3.6556,True,0.0249,3.7258,0.1907,116.9292,False,5,True,,,,,0.6905,0.8333,0.5952,-0.1905,8,l_brow,skin,mouth,skin,mouth,,,
lfw_match_076,lfw_eval,match,0.3150,match,0.0002,low,0.0090,1.6810,1.3405,True,0.0307,1.9441,1.4721,True,0.0193,-19.4023,0.0766,-7.5255,False,3,True,,,,,-0.2571,0.2571,0.8286,-0.0857,6,l_brow,skin,skin,skin,skin,,,
lfw_match_077,lfw_eval,match,0.4193,match,0.1044,medium,0.0287,2.4983,1.7491,True,0.1022,7.3897,4.1948,True,0.0504,7.9528,0.1158,49.7317,False,5,True,,,,,-0.6571,-0.7143,0.0857,-0.8857,6,hair,skin,r_brow,skin,r_brow,,,
lfw_match_078,lfw_eval,match,0.4409,match,0.1261,medium,-0.0141,0.4132,0.6328,False,-0.1010,0.1913,0.5540,False,-0.0088,0.4362,-0.0870,0.1842,False,5,True,,,,,0.0000,-0.9286,0.5000,-0.2500,7,hair,skin,l_brow,skin,l_brow,,,
lfw_match_079,lfw_eval,match,0.3787,match,0.0639,medium,0.0349,8.1136,4.2435,True,0.1193,11.6322,5.8790,True,0.0089,-8.3058,0.0077,1.1075,True,7,False,,0.0219,12.0688,True,0.1071,0.3214,0.8571,0.2857,7,r_brow,skin,skin,skin,skin,,,
lfw_match_080,lfw_eval,match,0.3923,match,0.0774,medium,0.0131,1.7659,1.3830,True,0.0565,3.2703,2.1352,True,0.0218,3.5999,0.0504,3.0272,False,5,True,,,,,0.6571,-0.2571,0.8857,0.4286,6,skin,skin,skin,skin,skin,,,
lfw_match_081,lfw_eval,match,0.2982,non-match,-0.0166,low,-0.0039,0.6026,0.8013,False,0.0168,1.5329,1.2664,True,0.0056,0.0544,0.0700,0.0650,False,1,True,,,,,0.0857,-0.2571,0.7143,0.0286,6,hair,skin,l_brow,l_brow,mouth,,,
lfw_match_082,lfw_eval,match,0.1164,non-match,-0.1984,high,,,,,,,,,,,,,True,0,True,all_negative_nonmatch,,,,-1.0000,-0.5000,-0.5000,1.0000,3,nose,mouth,nose,,nose,,,
lfw_match_083,lfw_eval,match,0.6129,match,0.2980,high,0.0468,24.1694,12.5847,True,0.1770,12.4523,6.7262,True,0.0475,36.8179,0.1800,15.4955,False,5,True,,,,,0.6571,-0.0857,0.8857,0.8286,6,nose,skin,nose,skin,nose,,,
lfw_match_084,lfw_eval,match,0.1876,non-match,-0.1272,medium,,,,,,,,,,,,,False,1,True,,,,,-0.2000,0.0000,0.6000,-0.8000,5,hair,skin,skin,r_brow,nose,,,
lfw_match_085,lfw_eval,match,0.5781,match,0.2633,high,0.0160,3.0135,1.7026,True,0.0749,2.8842,1.5021,True,0.0279,-6.0216,0.0834,3.6692,False,5,True,,,,,-0.1905,-0.8095,0.7143,0.0952,8,l_brow,skin,nose,skin,nose,,,
lfw_match_086,lfw_eval,match,0.4341,match,0.1193,medium,0.0146,4.0100,2.5050,True,0.1187,6.6084,3.8042,True,0.0054,-2.3414,-0.0657,0.1913,False,3,True,,,,,0.2029,-0.5508,0.3769,0.1739,6,hair,skin,mouth,skin,mouth,,,
lfw_match_087,lfw_eval,match,0.7504,match,0.4356,high,0.0177,4.2093,2.2450,True,0.2320,17.1286,7.8094,True,0.0119,12.4470,0.1535,4.3479,False,4,True,,,,,-0.3929,0.5000,0.8214,-0.1429,7,r_eye,skin,skin,skin,skin,,,
lfw_match_088,lfw_eval,match,0.0882,non-match,-0.2267,high,0.0129,6.4190,3.7777,True,0.0285,21.2653,11.1800,True,-0.0061,0.3161,-0.0044,1.9056,False,2,True,,,,,-0.3929,-0.7143,0.5000,-0.1429,7,r_brow,hair,hair,skin,hair,,,
lfw_match_089,lfw_eval,match,0.5949,match,0.2800,high,0.0011,1.1092,1.1381,False,0.1226,5.2562,2.5311,True,0.0018,1.2990,0.1309,7.8255,False,5,True,,,,,-0.3095,-0.6429,0.5000,0.7381,8,nose,skin,nose,skin,nose,,,
lfw_match_090,lfw_eval,match,0.5001,match,0.1852,high,0.0226,3.1540,1.8076,True,0.1449,7.2430,3.7325,True,0.0190,2.8740,0.1315,6.6531,False,6,False,,0.0305,46.5755,True,-0.5000,0.5000,0.6786,-0.5714,7,r_eye,skin,skin,skin,skin,,,
lfw_match_091,lfw_eval,match,0.0080,non-match,-0.3068,high,0.0080,2.4747,1.3503,True,0.0089,1.7188,1.0755,True,0.0057,4.8387,-0.0048,0.5236,False,6,False,,0.0096,16.0572,True,0.1190,-0.0952,0.0476,0.1905,8,nose,skin,skin,skin,skin,,,
lfw_match_092,lfw_eval,match,0.5369,match,0.2221,high,0.0304,17.8706,8.4308,True,0.1322,10.2368,5.0437,True,0.0205,18.8503,0.1238,8.0889,False,6,False,,0.0254,18.2523,True,-0.5714,-0.0714,0.6071,-0.5714,7,l_brow,skin,skin,skin,skin,,,
lfw_match_093,lfw_eval,match,0.4147,match,0.0999,medium,0.0064,1.3543,1.1772,True,0.0055,1.1532,1.0766,True,0.0064,1.3543,0.0095,1.3013,False,5,True,,,,,0.1429,0.8286,0.7714,-0.0286,6,l_brow,hair,nose,hair,nose,,,
lfw_match_094,lfw_eval,match,0.0494,non-match,-0.2654,high,,,,,,,,,,,,,False,2,True,,,,,0.4000,0.4000,0.8000,-0.4000,4,l_brow,skin,hair,l_brow,skin,,,
lfw_match_095,lfw_eval,match,0.4885,match,0.1736,high,0.0172,5.8784,5.0258,True,0.1146,12.0356,4.9846,True,-0.0011,0.9509,0.1122,19.0768,False,4,True,,,,,-0.0238,-0.4286,0.7619,0.6667,8,nose,skin,nose,skin,nose,,,
