-----------------------------------------------------------------------------------------------------------------------------------------------
pair_id                 category            gt         sim      decision     ok       margin    conf       top_sup       top_con       rho   
lfw_match_047           lfw_eval            match      0.1831   non-match    N        -0.1317   medium     nose          skin          -0.107
lfw_match_048           lfw_eval            match      0.6177   match        Y        0.3029    high       skin          -             0.833 
lfw_match_049           lfw_eval            match      0.1227   non-match    N        -0.1921   high       nose          hair          0.536 
lfw_match_050           lfw_eval            match      0.3725   match        Y        0.0577    medium     skin          mouth         0.714 
lfw_match_051           lfw_eval            match      0.3780   match        Y        0.0631    medium     skin          l_brow        0.143 
lfw_match_052           lfw_eval            match      0.5986   match        Y        0.2838    high       skin          -             0.821 
lfw_match_053           lfw_eval            match      0.5747   match        Y        0.2599    high       skin          mouth         0.143 
lfw_match_054           lfw_eval            match      0.1774   non-match    N        -0.1374   medium     r_eye         skin          0.929 
lfw_match_055           lfw_eval            match      0.3475   match        Y        0.0327    low        skin          nose          0.786 
lfw_match_056           lfw_eval            match      0.4328   match        Y        0.1180    medium     skin          r_brow        0.857 
lfw_match_057           lfw_eval            match      0.5559   match        Y        0.2411    high       skin          mouth         0.929 
lfw_match_058           lfw_eval            match      0.4318   match        Y        0.1170    medium     skin          nose          0.833 
lfw_match_059           lfw_eval            match      0.3521   match        Y        0.0373    low        skin          r_brow        0.943 
lfw_match_060           lfw_eval            match      0.0240   non-match    N        -0.2908   high       skin          mouth         0.257 
lfw_match_061           lfw_eval            match      -0.0145  non-match    N        -0.3293   high       skin          hair          0.486 
lfw_match_062           lfw_eval            match      0.3890   match        Y        0.0742    medium     skin          nose          -0.371
lfw_match_063           lfw_eval            match      0.3720   match        Y        0.0571    medium     skin          nose          0.657 
lfw_match_064           lfw_eval            match      0.3646   match        Y        0.0498    low        skin          nose          0.071 
lfw_match_065           lfw_eval            match      0.5016   match        Y        0.1868    high       skin          nose          0.381 
lfw_match_066           lfw_eval            match      0.1679   non-match    N        -0.1469   medium     mouth         skin          0.464 
lfw_match_067           lfw_eval            match      0.2857   non-match    N        -0.0291   low        l_brow        skin          0.833 
lfw_match_068           lfw_eval            match      0.0778   non-match    N        -0.2371   high       skin          hair          0.714 
lfw_match_069           lfw_eval            match      0.1909   non-match    N        -0.1240   medium     skin          hair          0.357 
lfw_match_070           lfw_eval            match      0.2497   non-match    N        -0.0651   medium     nose          skin          0.750 
lfw_match_071           lfw_eval            match      0.4835   match        Y        0.1686    high       skin          l_eye         0.500 
lfw_match_072           lfw_eval            match      0.4409   match        Y        0.1261    medium     skin          mouth         0.524 
lfw_match_073           lfw_eval            match      0.5128   match        Y        0.1980    high       skin          mouth         0.829 
lfw_match_074           lfw_eval            match      0.5209   match        Y        0.2061    high       skin          mouth         0.657 
lfw_match_075           lfw_eval            match      0.5061   match        Y        0.1912    high       skin          l_eye         0.857 
lfw_match_076           lfw_eval            match      0.3150   match        Y        0.0002    low        skin          r_eye         0.357 
lfw_match_077           lfw_eval            match      0.4193   match        Y        0.1044    medium     skin          l_brow        0.657 
lfw_match_078           lfw_eval            match      0.4409   match        Y        0.1261    medium     skin          mouth         0.500 
lfw_match_079           lfw_eval            match      0.3787   match        Y        0.0639    medium     skin          l_eye         0.333 
lfw_match_080           lfw_eval            match      0.3923   match        Y        0.0774    medium     skin          nose          0.086 
lfw_match_081           lfw_eval            match      0.2982   non-match    N        -0.0166   low        r_brow        skin          0.771 
lfw_match_082           lfw_eval            match      0.1164   non-match    N        -0.1984   high       hair          mouth         0.086 
lfw_match_083           lfw_eval            match      0.6129   match        Y        0.2980    high       skin          mouth         0.464 
lfw_match_084           lfw_eval            match      0.1876   non-match    N        -0.1272   medium     mouth         skin          0.600 
lfw_match_085           lfw_eval            match      0.5781   match        Y        0.2633    high       skin          r_brow        0.738 
lfw_match_086           lfw_eval            match      0.4341   match        Y        0.1193    medium     skin          nose          0.571 
lfw_match_087           lfw_eval            match      0.7504   match        Y        0.4356    high       skin          nose          0.893 
lfw_match_088           lfw_eval            match      0.0882   non-match    N        -0.2267   high       skin          hair          -0.429
lfw_match_089           lfw_eval            match      0.5949   match        Y        0.2800    high       skin          l_brow        0.310 
lfw_match_090           lfw_eval            match      0.5001   match        Y        0.1852    high       skin          nose          0.857 
lfw_match_091           lfw_eval            match      0.0080   non-match    N        -0.3068   high       skin          l_brow        0.024 
lfw_match_092           lfw_eval            match      0.5369   match        Y        0.2221    high       skin          r_brow        0.714 
lfw_match_093           lfw_eval            match      0.4147   match        Y        0.0999    medium     skin          r_brow        0.657 
lfw_match_094           lfw_eval            match      0.0494   non-match    N        -0.2654   high       l_brow        skin          0.500 
lfw_match_095           lfw_eval            match      0.4885   match        Y        0.1736    high       skin          nose          0.119 
lfw_match_096           lfw_eval            match      0.1399   non-match    N        -0.1749   high       hair          skin          0.714 
lfw_match_097           lfw_eval            match      0.5446   match        Y        0.2298    high       skin          nose          0.048 
lfw_match_098           lfw_eval            match      0.4838   match        Y        0.1690    high       skin          mouth         0.286 
lfw_match_099           lfw_eval            match      0.5276   match        Y        0.2127    high       hair          r_brow        0.771 
lfw_match_100           lfw_eval            match      0.4121   match        Y        0.0973    medium     hair          l_brow        1.000 
lfw_match_101           lfw_eval            match      0.6654   match        Y        0.3506    high       hair          r_eye         0.857 
lfw_match_102           lfw_eval            match      0.5189   match        Y        0.2041    high       hair          r_eye         0.714 
lfw_match_103           lfw_eval            match      0.0202   non-match    N        -0.2946   high       l_brow        hair          0.262 
lfw_match_104           lfw_eval            match      0.3455   match        Y        0.0307    low        skin          nose          0.857 
lfw_match_105           lfw_eval            match      0.6442   match        Y        0.3293    high       skin          l_brow        0.893 
lfw_match_106           lfw_eval            match      0.2801   non-match    N        -0.0347   low        hair          skin          0.833 
lfw_match_107           lfw_eval            match      0.4339   match        Y        0.1191    medium     skin          r_eye         0.714 
lfw_match_108           lfw_eval            match      0.2856   non-match    N        -0.0292   low        l_brow        skin          0.371 
lfw_match_109           lfw_eval            match      0.3745   match        Y        0.0597    medium     hair          nose          0.143 
lfw_match_110           lfw_eval            match      0.4300   match        Y        0.1152    medium     skin          l_brow        0.333 
lfw_match_111           lfw_eval            match      0.4629   match        Y        0.1481    medium     skin          r_brow        0.476 
lfw_match_112           lfw_eval            match      0.4731   match        Y        0.1583    high       skin          nose          0.667 
lfw_match_113           lfw_eval            match      0.3247   match        Y        0.0099    low        skin          l_brow        0.607 
lfw_match_114           lfw_eval            match      0.3555   match        Y        0.0407    low        hair          mouth         0.714 
lfw_match_115           lfw_eval            match      0.4772   match        Y        0.1624    high       skin          mouth         0.690 
lfw_match_116           lfw_eval            match      0.7344   match        Y        0.4196    high       skin          l_eye         0.714 
lfw_match_117           lfw_eval            match      0.4033   match        Y        0.0885    medium     skin          l_brow        0.000 
lfw_match_118           lfw_eval            match      0.4300   match        Y        0.1152    medium     skin          nose          0.905 
lfw_match_119           lfw_eval            match      0.5865   match        Y        0.2716    high       skin          mouth         0.600 
lfw_match_120           lfw_eval            match      0.3548   match        Y        0.0400    low        hair          nose          0.357 
lfw_match_121           lfw_eval            match      -0.0114  non-match    N        -0.3262   high       hair          skin          0.810 
lfw_match_122           lfw_eval            match      0.1775   non-match    N        -0.1373   medium     nose          skin          0.571 
lfw_match_123           lfw_eval            match      0.2884   non-match    N        -0.0265   low        mouth         skin          0.750 
lfw_match_124           lfw_eval            match      0.3220   match        Y        0.0072    low        skin          -             0.571 
lfw_match_125           lfw_eval            match      0.4970   match        Y        0.1821    high       skin          l_brow        0.250 
lfw_match_126           lfw_eval            match      0.4615   match        Y        0.1467    medium     skin          l_brow        0.929 
lfw_match_127           lfw_eval            match      0.2895   non-match    N        -0.0254   low        l_eye         skin          0.738 
lfw_match_128           lfw_eval            match      0.3098   non-match    N        -0.0051   low        r_brow        skin          0.371 
lfw_match_129           lfw_eval            match      0.1408   non-match    N        -0.1740   high       l_brow        skin          0.143 
lfw_match_130           lfw_eval            match      0.3324   match        Y        0.0176    low        skin          r_brow        0.310 
lfw_match_131           lfw_eval            match      0.0443   non-match    N        -0.2705   high       r_brow        nose          -0.143
lfw_match_132           lfw_eval            match      0.4329   match        Y        0.1181    medium     skin          mouth         0.357 
lfw_match_133           lfw_eval            match      0.4620   match        Y        0.1471    medium     skin          l_brow        0.464 
lfw_match_134           lfw_eval            match      0.3598   match        Y        0.0450    low        skin          -             0.714 
lfw_match_135           lfw_eval            match      0.0355   non-match    N        -0.2793   high       mouth         nose          0.143 
lfw_match_136           lfw_eval            match      0.6449   match        Y        0.3301    high       skin          r_brow        0.667 
lfw_match_137           lfw_eval            match      0.6138   match        Y        0.2990    high       skin          r_brow        0.238 
lfw_match_138           lfw_eval            match      0.6598   match        Y        0.3450    high       skin          mouth         0.667 
lfw_match_139           lfw_eval            match      0.5897   match        Y        0.2749    high       skin          mouth         0.381 
lfw_match_140           lfw_eval            match      0.4904   match        Y        0.1756    high       skin          mouth         0.679 
lfw_match_141           lfw_eval            match      0.3143   non-match    N        -0.0005   low        l_brow        skin          0.595 
lfw_match_142           lfw_eval            match      0.1802   non-match    N        -0.1346   medium     mouth         skin          0.943 
lfw_match_143           lfw_eval            match      0.5121   match        Y        0.1973    high       skin          nose          0.048 
lfw_match_144           lfw_eval            match      0.5717   match        Y        0.2569    high       skin          r_brow        0.738 
lfw_match_145           lfw_eval            match      0.5790   match        Y        0.2642    high       skin          l_eye         0.643 
lfw_match_146           lfw_eval            match      0.5546   match        Y        0.2398    high       skin          mouth         0.762 
lfw_match_147           lfw_eval            match      0.3174   match        Y        0.0026    low        skin          nose          -0.400
lfw_match_148           lfw_eval            match      0.2243   non-match    N        -0.0905   medium     nose          hair          0.371 
lfw_match_149           lfw_eval            match      0.4294   match        Y        0.1145    medium     skin          hair          0.786 
lfw_match_150           lfw_eval            match      0.1036   non-match    N        -0.2112   high       hair          skin          0.257 
lfw_nonmatch_001        lfw_eval            non-match  0.1155   non-match    Y        -0.1993   high       hair          skin          0.000 
lfw_nonmatch_002        lfw_eval            non-match  0.1150   non-match    Y        -0.1998   high       l_eye         skin          -0.310
lfw_nonmatch_003        lfw_eval            non-match  0.0724   non-match    Y        -0.2425   high       skin          skin          0.690 
lfw_nonmatch_004        lfw_eval            non-match  0.0192   non-match    Y        -0.2956   high       hair          l_brow        0.200 
lfw_nonmatch_005        lfw_eval            non-match  0.0398   non-match    Y        -0.2750   high       nose          hair          0.714 
lfw_nonmatch_006        lfw_eval            non-match  -0.0364  non-match    Y        -0.3512   high       skin          nose          0.893 
lfw_nonmatch_007        lfw_eval            non-match  0.0393   non-match    Y        -0.2756   high       hair          skin          0.857 
lfw_nonmatch_008        lfw_eval            non-match  0.0234   non-match    Y        -0.2914   high       skin          hair          -0.238
lfw_nonmatch_009        lfw_eval            non-match  0.0542   non-match    Y        -0.2607   high       hair          hair          0.143 
lfw_nonmatch_010        lfw_eval            non-match  -0.0096  non-match    Y        -0.3244   high       r_brow        skin          -0.071
lfw_nonmatch_011        lfw_eval            non-match  0.1841   non-match    Y        -0.1308   medium     hair          skin          0.886 
lfw_nonmatch_012        lfw_eval            non-match  -0.0483  non-match    Y        -0.3631   high       skin          skin          -0.143
lfw_nonmatch_013        lfw_eval            non-match  -0.0333  non-match    Y        -0.3482   high       skin          skin          -0.200
lfw_nonmatch_014        lfw_eval            non-match  -0.0055  non-match    Y        -0.3203   high       nose          hair          -0.286
lfw_nonmatch_015        lfw_eval            non-match  0.0549   non-match    Y        -0.2600   high       skin          nose          0.321 
lfw_nonmatch_016        lfw_eval            non-match  0.0009   non-match    Y        -0.3139   high       mouth         skin          -0.086
lfw_nonmatch_017        lfw_eval            non-match  0.1115   non-match    Y        -0.2033   high       skin          nose          -0.071
lfw_nonmatch_018        lfw_eval            non-match  0.1675   non-match    Y        -0.1473   medium     nose          skin          -0.179
lfw_nonmatch_019        lfw_eval            non-match  0.1253   non-match    Y        -0.1895   high       -             skin          -0.200
lfw_nonmatch_020        lfw_eval            non-match  -0.0707  non-match    Y        -0.3855   high       skin          l_brow        0.762 
lfw_nonmatch_021        lfw_eval            non-match  0.1345   non-match    Y        -0.1804   high       l_eye         skin          -0.095
lfw_nonmatch_022        lfw_eval            non-match  0.0149   non-match    Y        -0.2999   high       skin          nose          0.024 
lfw_nonmatch_023        lfw_eval            non-match  -0.0176  non-match    Y        -0.3324   high       nose          hair          0.548 
lfw_nonmatch_024        lfw_eval            non-match  -0.0247  non-match    Y        -0.3395   high       hair          mouth         0.143 
lfw_nonmatch_025        lfw_eval            non-match  -0.0327  non-match    Y        -0.3475   high       skin          nose          0.357 
lfw_nonmatch_026        lfw_eval            non-match  0.0465   non-match    Y        -0.2684   high       skin          skin          -0.381
lfw_nonmatch_027        lfw_eval            non-match  -0.0096  non-match    Y        -0.3245   high       skin          nose          0.000 
lfw_nonmatch_028        lfw_eval            non-match  0.1417   non-match    Y        -0.1731   high       hair          skin          0.190 
lfw_nonmatch_029        lfw_eval            non-match  -0.0046  non-match    Y        -0.3195   high       skin          skin          0.029 
lfw_nonmatch_030        lfw_eval            non-match  -0.0527  non-match    Y        -0.3675   high       skin          mouth         0.571 
lfw_nonmatch_031        lfw_eval            non-match  0.0893   non-match    Y        -0.2255   high       hair          skin          0.179 
lfw_nonmatch_032        lfw_eval            non-match  0.1023   non-match    Y        -0.2125   high       hair          skin          0.714 
lfw_nonmatch_033        lfw_eval            non-match  -0.0175  non-match    Y        -0.3323   high       hair          skin          0.829 
lfw_nonmatch_034        lfw_eval            non-match  0.1164   non-match    Y        -0.1985   high       hair          nose          0.714 
lfw_nonmatch_035        lfw_eval            non-match  0.1350   non-match    Y        -0.1798   high       nose          skin          0.543 
lfw_nonmatch_036        lfw_eval            non-match  0.0397   non-match    Y        -0.2752   high       nose          l_brow        0.452 
lfw_nonmatch_037        lfw_eval            non-match  0.1072   non-match    Y        -0.2077   high       nose          skin          -0.333
lfw_nonmatch_038        lfw_eval            non-match  -0.0474  non-match    Y        -0.3623   high       nose          nose          -0.714
lfw_nonmatch_039        lfw_eval            non-match  0.0457   non-match    Y        -0.2691   high       hair          l_brow        -0.214
lfw_nonmatch_040        lfw_eval            non-match  0.0854   non-match    Y        -0.2294   high       skin          r_eye         0.321 
lfw_nonmatch_041        lfw_eval            non-match  -0.0065  non-match    Y        -0.3214   high       nose          skin          0.000 
lfw_nonmatch_042        lfw_eval            non-match  0.0717   non-match    Y        -0.2432   high       l_brow        skin          0.857 
lfw_nonmatch_043        lfw_eval            non-match  0.0287   non-match    Y        -0.2862   high       hair          r_eye         0.476 
lfw_nonmatch_044        lfw_eval            non-match  -0.0047  non-match    Y        -0.3196   high       hair          mouth         -0.607
lfw_nonmatch_045        lfw_eval            non-match  0.1343   non-match    Y        -0.1805   high       mouth         skin          -0.214
lfw_nonmatch_046        lfw_eval            non-match  -0.0177  non-match    Y        -0.3326   high       skin          skin          0.900 
lfw_nonmatch_047        lfw_eval            non-match  0.0016   non-match    Y        -0.3133   high       nose          skin          -0.257
lfw_nonmatch_048        lfw_eval            non-match  0.0492   non-match    Y        -0.2656   high       hair          skin          0.714 
lfw_nonmatch_049        lfw_eval            non-match  0.0786   non-match    Y        -0.2362   high       r_brow        skin          0.000 
lfw_nonmatch_050        lfw_eval            non-match  -0.0582  non-match    Y        -0.3730   high       skin          hair          -0.357
lfw_nonmatch_051        lfw_eval            non-match  0.1041   non-match    Y        -0.2107   high       hair          skin          0.771 
lfw_nonmatch_052        lfw_eval            non-match  0.0201   non-match    Y        -0.2947   high       skin          hair          0.143 
lfw_nonmatch_053        lfw_eval            non-match  0.0991   non-match    Y        -0.2157   high       hair          skin          0.405 
lfw_nonmatch_054        lfw_eval            non-match  -0.0451  non-match    Y        -0.3600   high       skin          nose          0.600 
lfw_nonmatch_055        lfw_eval            non-match  -0.0690  non-match    Y        -0.3838   high       skin          nose          0.429 
lfw_nonmatch_056        lfw_eval            non-match  0.0090   non-match    Y        -0.3058   high       skin          hair          -0.762
lfw_nonmatch_057        lfw_eval            non-match  0.1657   non-match    Y        -0.1491   medium     mouth         skin          0.714 
lfw_nonmatch_058        lfw_eval            non-match  0.0127   non-match    Y        -0.3021   high       nose          skin          0.943 
lfw_nonmatch_059        lfw_eval            non-match  0.1120   non-match    Y        -0.2028   high       r_eye         skin          0.833 
lfw_nonmatch_060        lfw_eval            non-match  0.0892   non-match    Y        -0.2256   high       hair          skin          0.738 
lfw_nonmatch_061        lfw_eval            non-match  0.0214   non-match    Y        -0.2934   high       nose          hair          0.500 
lfw_nonmatch_062        lfw_eval            non-match  0.0453   non-match    Y        -0.2695   high       l_eye         r_brow        0.500 
lfw_nonmatch_063        lfw_eval            non-match  0.1282   non-match    Y        -0.1866   high       nose          skin          -0.543
lfw_nonmatch_064        lfw_eval            non-match  0.1344   non-match    Y        -0.1804   high       hair          skin          0.886 
lfw_nonmatch_065        lfw_eval            non-match  -0.0009  non-match    Y        -0.3157   high       skin          r_eye         0.321 
lfw_nonmatch_066        lfw_eval            non-match  0.0866   non-match    Y        -0.2282   high       skin          hair          0.381 
lfw_nonmatch_067        lfw_eval            non-match  0.0751   non-match    Y        -0.2398   high       r_brow        skin          0.086 
lfw_nonmatch_068        lfw_eval            non-match  0.0538   non-match    Y        -0.2610   high       skin          skin          -0.429
lfw_nonmatch_069        lfw_eval            non-match  0.0877   non-match    Y        -0.2271   high       nose          skin          0.452 
lfw_nonmatch_070        lfw_eval            non-match  0.1014   non-match    Y        -0.2134   high       l_eye         skin          0.381 
lfw_nonmatch_071        lfw_eval            non-match  0.0996   non-match    Y        -0.2153   high       hair          skin          0.738 
lfw_nonmatch_072        lfw_eval            non-match  0.0614   non-match    Y        -0.2535   high       mouth         skin          0.690 
lfw_nonmatch_073        lfw_eval            non-match  -0.0543  non-match    Y        -0.3692   high       skin          hair          0.595 
lfw_nonmatch_074        lfw_eval            non-match  0.1302   non-match    Y        -0.1846   high       hair          skin          0.381 
lfw_nonmatch_075        lfw_eval            non-match  0.0347   non-match    Y        -0.2802   high       skin          mouth         0.952 
lfw_nonmatch_076        lfw_eval            non-match  0.0232   non-match    Y        -0.2916   high       hair          skin          -0.257
lfw_nonmatch_077        lfw_eval            non-match  0.1172   non-match    Y        -0.1976   high       r_eye         skin          0.810 
lfw_nonmatch_078        lfw_eval            non-match  0.0400   non-match    Y        -0.2748   high       skin          hair          0.857 
lfw_nonmatch_079        lfw_eval            non-match  0.1224   non-match    Y        -0.1924   high       r_eye         skin          0.405 
lfw_nonmatch_080        lfw_eval            non-match  0.0063   non-match    Y        -0.3085   high       hair          nose          0.571 
lfw_nonmatch_081        lfw_eval            non-match  0.0120   non-match    Y        -0.3028   high       l_brow        skin          -0.310
lfw_nonmatch_082        lfw_eval            non-match  0.1914   non-match    Y        -0.1234   medium     nose          hair          -0.286
lfw_nonmatch_083        lfw_eval            non-match  0.0515   non-match    Y        -0.2634   high       mouth         skin          -0.167
lfw_nonmatch_084        lfw_eval            non-match  0.0313   non-match    Y        -0.2835   high       r_brow        skin          -0.200
lfw_nonmatch_085        lfw_eval            non-match  0.0325   non-match    Y        -0.2823   high       skin          hair          0.857 
lfw_nonmatch_086        lfw_eval            non-match  0.0815   non-match    Y        -0.2333   high       hair          skin          0.314 
lfw_nonmatch_087        lfw_eval            non-match  0.0597   non-match    Y        -0.2551   high       nose          skin          -0.371
lfw_nonmatch_088        lfw_eval            non-match  0.0224   non-match    Y        -0.2925   high       hair          skin          0.543 
lfw_nonmatch_089        lfw_eval            non-match  0.0001   non-match    Y        -0.3148   high       skin          skin          0.310 
lfw_nonmatch_090        lfw_eval            non-match  -0.0163  non-match    Y        -0.3311   high       hair          skin          -0.452
lfw_nonmatch_091        lfw_eval            non-match  -0.0402  non-match    Y        -0.3551   high       skin          mouth         0.086 
lfw_nonmatch_092        lfw_eval            non-match  -0.0500  non-match    Y        -0.3648   high       skin          hair          0.810 
lfw_nonmatch_093        lfw_eval            non-match  -0.0270  non-match    Y        -0.3418   high       skin          hair          -0.036
lfw_nonmatch_094        lfw_eval            non-match  -0.0056  non-match    Y        -0.3204   high       skin          nose          0.543 
lfw_nonmatch_095        lfw_eval            non-match  -0.0053  non-match    Y        -0.3202   high       hair          r_brow        0.310 
lfw_nonmatch_096        lfw_eval            non-match  -0.0529  non-match    Y        -0.3677   high       skin          -             0.600 
lfw_nonmatch_097        lfw_eval            non-match  0.1295   non-match    Y        -0.1854   high       l_eye         skin          0.536 
lfw_nonmatch_098        lfw_eval            non-match  -0.0518  non-match    Y        -0.3666   high       skin          hair          0.143 
lfw_nonmatch_099        lfw_eval            non-match  0.0370   non-match    Y        -0.2779   high       l_brow        hair          0.667 
lfw_nonmatch_100        lfw_eval            non-match  0.0006   non-match    Y        -0.3142   high       l_brow        nose          0.429 
lfw_nonmatch_101        lfw_eval            non-match  0.1134   non-match    Y        -0.2015   high       r_brow        hair          0.286 
lfw_nonmatch_102        lfw_eval            non-match  -0.0043  non-match    Y        -0.3191   high       skin          mouth         0.029 
lfw_nonmatch_103        lfw_eval            non-match  0.0368   non-match    Y        -0.2780   high       l_brow        skin          -0.190
lfw_nonmatch_104        lfw_eval            non-match  -0.0156  non-match    Y        -0.3305   high       skin          mouth         0.143 
lfw_nonmatch_105        lfw_eval            non-match  0.0888   non-match    Y        -0.2260   high       nose          skin          -0.119
lfw_nonmatch_106        lfw_eval            non-match  0.1483   non-match    Y        -0.1665   high       nose          skin          0.571 
lfw_nonmatch_107        lfw_eval            non-match  -0.0235  non-match    Y        -0.3384   high       skin          hair          0.690 
lfw_nonmatch_108        lfw_eval            non-match  -0.0336  non-match    Y        -0.3484   high       nose          skin          -0.607
lfw_nonmatch_109        lfw_eval            non-match  0.0192   non-match    Y        -0.2956   high       nose          skin          -0.371
lfw_nonmatch_110        lfw_eval            non-match  0.1065   non-match    Y        -0.2083   high       l_eye         skin          0.881 
lfw_nonmatch_111        lfw_eval            non-match  -0.0267  non-match    Y        -0.3415   high       skin          skin          0.657 
lfw_nonmatch_112        lfw_eval            non-match  0.0251   non-match    Y        -0.2897   high       nose          skin          -0.086
lfw_nonmatch_113        lfw_eval            non-match  -0.0220  non-match    Y        -0.3368   high       skin          hair          0.393 
lfw_nonmatch_114        lfw_eval            non-match  0.0556   non-match    Y        -0.2592   high       skin          mouth         0.214 
lfw_nonmatch_115        lfw_eval            non-match  0.0926   non-match    Y        -0.2223   high       hair          skin          1.000 
lfw_nonmatch_116        lfw_eval            non-match  0.1950   non-match    Y        -0.1199   medium     hair          skin          0.286 
lfw_nonmatch_117        lfw_eval            non-match  0.0083   non-match    Y        -0.3066   high       hair          skin          0.657 
lfw_nonmatch_118        lfw_eval            non-match  0.0473   non-match    Y        -0.2676   high       r_brow        skin          0.143 
lfw_nonmatch_119        lfw_eval            non-match  0.1492   non-match    Y        -0.1657   high       mouth         skin          0.429 
lfw_nonmatch_120        lfw_eval            non-match  0.0470   non-match    Y        -0.2678   high       l_eye         hair          0.238 
lfw_nonmatch_121        lfw_eval            non-match  -0.0182  non-match    Y        -0.3330   high       skin          hair          0.476 
lfw_nonmatch_122        lfw_eval            non-match  0.0696   non-match    Y        -0.2452   high       skin          hair          -0.029
lfw_nonmatch_123        lfw_eval            non-match  0.0103   non-match    Y        -0.3045   high       skin          nose          0.762 
lfw_nonmatch_124        lfw_eval            non-match  0.1033   non-match    Y        -0.2115   high       skin          hair          0.786 
