pair_id,category,ground_truth,img_a,img_b
lfw_match_011,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alex_Penelas\Alex_Penelas_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alex_Penelas\Alex_Penelas_0002.jpg
lfw_match_012,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ali_Naimi\Ali_Naimi_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ali_Naimi\Ali_Naimi_0003.jpg
lfw_match_013,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ali_Naimi\Ali_Naimi_0003.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ali_Naimi\Ali_Naimi_0004.jpg
lfw_match_014,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Allison_Janney\Allison_Janney_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Allison_Janney\Allison_Janney_0002.jpg
lfw_match_015,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Allyson_Felix\Allyson_Felix_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Allyson_Felix\Allyson_Felix_0005.jpg
lfw_match_016,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alvaro_Uribe\Alvaro_Uribe_0007.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alvaro_Uribe\Alvaro_Uribe_0010.jpg
lfw_match_017,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alvaro_Uribe\Alvaro_Uribe_0017.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alvaro_Uribe\Alvaro_Uribe_0026.jpg
lfw_match_018,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alvaro_Uribe\Alvaro_Uribe_0028.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alvaro_Uribe\Alvaro_Uribe_0029.jpg
lfw_match_019,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0002.jpg
lfw_match_020,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0003.jpg
lfw_match_021,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0004.jpg
lfw_match_022,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0003.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amanda_Bynes\Amanda_Bynes_0004.jpg
lfw_match_023,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amelie_Mauresmo\Amelie_Mauresmo_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amelie_Mauresmo\Amelie_Mauresmo_0021.jpg
lfw_match_024,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amelie_Mauresmo\Amelie_Mauresmo_0004.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amelie_Mauresmo\Amelie_Mauresmo_0011.jpg
lfw_match_025,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amelie_Mauresmo\Amelie_Mauresmo_0016.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Amelie_Mauresmo\Amelie_Mauresmo_0021.jpg
lfw_match_026,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ana_Palacio\Ana_Palacio_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ana_Palacio\Ana_Palacio_0006.jpg
lfw_match_027,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Andrei_Mikhnevich\Andrei_Mikhnevich_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Andrei_Mikhnevich\Andrei_Mikhnevich_0002.jpg
lfw_match_028,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Andy_Hebb\Andy_Hebb_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Andy_Hebb\Andy_Hebb_0002.jpg
lfw_match_029,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Angelo_Reyes\Angelo_Reyes_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Angelo_Reyes\Angelo_Reyes_0002.jpg
lfw_match_030,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Angelo_Reyes\Angelo_Reyes_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Angelo_Reyes\Angelo_Reyes_0003.jpg
lfw_match_031,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ann_Veneman\Ann_Veneman_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ann_Veneman\Ann_Veneman_0002.jpg
lfw_match_032,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ann_Veneman\Ann_Veneman_0005.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ann_Veneman\Ann_Veneman_0011.jpg
lfw_match_033,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ann_Veneman\Ann_Veneman_0008.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ann_Veneman\Ann_Veneman_0009.jpg
lfw_match_034,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Anna_Nicole_Smith\Anna_Nicole_Smith_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Anna_Nicole_Smith\Anna_Nicole_Smith_0002.jpg
lfw_match_035,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Anne_Krueger\Anne_Krueger_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Anne_Krueger\Anne_Krueger_0002.jpg
lfw_match_036,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Anne_Krueger\Anne_Krueger_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Anne_Krueger\Anne_Krueger_0003.jpg
lfw_match_037,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Annette_Lu\Annette_Lu_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Annette_Lu\Annette_Lu_0002.jpg
lfw_match_038,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Annette_Lu\Annette_Lu_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Annette_Lu\Annette_Lu_0003.jpg
lfw_match_039,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Annette_Lu\Annette_Lu_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Annette_Lu\Annette_Lu_0003.jpg
lfw_match_040,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Antonio_Palocci\Antonio_Palocci_0003.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Antonio_Palocci\Antonio_Palocci_0008.jpg
lfw_match_041,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Antonio_Trillanes\Antonio_Trillanes_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Antonio_Trillanes\Antonio_Trillanes_0002.jpg
lfw_match_042,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Antonio_Trillanes\Antonio_Trillanes_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Antonio_Trillanes\Antonio_Trillanes_0003.jpg
lfw_match_043,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Arlen_Specter\Arlen_Specter_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Arlen_Specter\Arlen_Specter_0003.jpg
lfw_match_044,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Augustin_Calleri\Augustin_Calleri_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Augustin_Calleri\Augustin_Calleri_0003.jpg
lfw_match_045,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Augustin_Calleri\Augustin_Calleri_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Augustin_Calleri\Augustin_Calleri_0004.jpg
lfw_match_046,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Barbara_Brezigar\Barbara_Brezigar_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Barbara_Brezigar\Barbara_Brezigar_0002.jpg
lfw_match_047,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Begum_Khaleda_Zia\Begum_Khaleda_Zia_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Begum_Khaleda_Zia\Begum_Khaleda_Zia_0002.jpg
lfw_match_048,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ben_Affleck\Ben_Affleck_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ben_Affleck\Ben_Affleck_0003.jpg
lfw_match_049,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ben_Affleck\Ben_Affleck_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ben_Affleck\Ben_Affleck_0006.jpg
lfw_match_050,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ben_Affleck\Ben_Affleck_0003.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Ben_Affleck\Ben_Affleck_0006.jpg
lfw_match_051,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bertie_Ahern\Bertie_Ahern_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bertie_Ahern\Bertie_Ahern_0003.jpg
lfw_match_052,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0003.jpg
lfw_match_053,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0007.jpg
lfw_match_054,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0003.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Frist\Bill_Frist_0008.jpg
lfw_match_055,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0006.jpg
lfw_match_056,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0010.jpg
lfw_match_057,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0003.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_McBride\Bill_McBride_0009.jpg
lfw_match_058,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Sizemore\Bill_Sizemore_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bill_Sizemore\Bill_Sizemore_0002.jpg
lfw_match_059,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bono\Bono_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bono\Bono_0002.jpg
lfw_match_060,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bono\Bono_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bono\Bono_0003.jpg
lfw_match_061,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bono\Bono_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bono\Bono_0003.jpg
lfw_match_062,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Brian_Cowen\Brian_Cowen_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Brian_Cowen\Brian_Cowen_0002.jpg
lfw_match_063,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bridget_Fonda\Bridget_Fonda_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bridget_Fonda\Bridget_Fonda_0003.jpg
lfw_match_064,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bridgette_Wilson-Sampras\Bridgette_Wilson-Sampras_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Bridgette_Wilson-Sampras\Bridgette_Wilson-Sampras_0002.jpg
lfw_match_065,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Butch_Davis\Butch_Davis_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Butch_Davis\Butch_Davis_0002.jpg
lfw_match_066,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Calista_Flockhart\Calista_Flockhart_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Calista_Flockhart\Calista_Flockhart_0006.jpg
lfw_match_067,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Candice_Bergen\Candice_Bergen_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Candice_Bergen\Candice_Bergen_0003.jpg
lfw_match_068,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carla_Del_Ponte\Carla_Del_Ponte_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carla_Del_Ponte\Carla_Del_Ponte_0004.jpg
lfw_match_069,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carla_Del_Ponte\Carla_Del_Ponte_0004.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carla_Del_Ponte\Carla_Del_Ponte_0005.jpg
lfw_match_070,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Manuel_Pruneda\Carlos_Manuel_Pruneda_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Manuel_Pruneda\Carlos_Manuel_Pruneda_0002.jpg
lfw_match_071,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Manuel_Pruneda\Carlos_Manuel_Pruneda_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Manuel_Pruneda\Carlos_Manuel_Pruneda_0003.jpg
lfw_match_072,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Manuel_Pruneda\Carlos_Manuel_Pruneda_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Manuel_Pruneda\Carlos_Manuel_Pruneda_0003.jpg
lfw_match_073,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Moya\Carlos_Moya_0007.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Moya\Carlos_Moya_0011.jpg
lfw_match_074,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Ortega\Carlos_Ortega_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Carlos_Ortega\Carlos_Ortega_0003.jpg
